image_id,sample_id,svs_path
322525,P-0000012-T03-IM3,s3://mskmind-bkt/reef-slides/322525.svs
1106318,P-0000012-T04-IM6,s3://mskmind-bkt/reef-slides/1106318.svs
881837,P-0000034-T01-IM3,s3://mskmind-bkt/reef-slides/881837.svs
755246,P-0000037-T02-IM3,s3://mskmind-bkt/reef-slides/755246.svs
1473555,P-0000056-T01-IM3,s3://mskmind-bkt/reef-slides/1473555.svs
1376375,P-0000058-T01-IM3,s3://mskmind-bkt/reef-slides/1376375.svs
754227,P-0000062-T01-IM3,s3://mskmind-bkt/reef-slides/754227.svs
1707099,P-0000063-T01-IM3,s3://mskmind-bkt/reef-slides/1707099.svs
3134102,P-0000066-T01-IM3,s3://mskmind-bkt/reef-slides/3134102.svs
1080587,P-0000066-T02-IM5,s3://mskmind-bkt/reef-slides/1080587.svs
1249454,P-0000071-T01-IM3,s3://mskmind-bkt/reef-slides/1249454.svs
744399,P-0000075-T01-IM3,s3://mskmind-bkt/reef-slides/744399.svs
465986,P-0000076-T01-IM3,s3://mskmind-bkt/reef-slides/465986.svs
466010,P-0000079-T01-IM3,s3://mskmind-bkt/reef-slides/466010.svs
506092,P-0000081-T02-IM6,s3://mskmind-bkt/reef-slides/506092.svs
465992,P-0000083-T01-IM3,s3://mskmind-bkt/reef-slides/465992.svs
465982,P-0000084-T01-IM3,s3://mskmind-bkt/reef-slides/465982.svs
466020,P-0000088-T01-IM3,s3://mskmind-bkt/reef-slides/466020.svs
745468,P-0000093-T01-IM3,s3://mskmind-bkt/reef-slides/745468.svs
466734,P-0000096-T01-IM3,s3://mskmind-bkt/reef-slides/466734.svs
466760,P-0000102-T02-IM3,s3://mskmind-bkt/reef-slides/466760.svs
498505,P-0000104-T02-IM6,s3://mskmind-bkt/reef-slides/498505.svs
735600,P-0000107-T01-IM3,s3://mskmind-bkt/reef-slides/735600.svs
3846229,P-0000110-T01-IM3,s3://mskmind-bkt/reef-slides/3846229.svs
3735444,P-0000113-T03-IM7,s3://mskmind-bkt/reef-slides/3735444.svs
3632281,P-0000113-T04-IM7,s3://mskmind-bkt/reef-slides/3632281.svs
735614,P-0000114-T02-IM3,s3://mskmind-bkt/reef-slides/735614.svs
466675,P-0000115-T01-IM3,s3://mskmind-bkt/reef-slides/466675.svs
736475,P-0000117-T01-IM3,s3://mskmind-bkt/reef-slides/736475.svs
735609,P-0000120-T01-IM3,s3://mskmind-bkt/reef-slides/735609.svs
1079554,P-0000120-T02-IM6,s3://mskmind-bkt/reef-slides/1079554.svs
466721,P-0000121-T01-IM3,s3://mskmind-bkt/reef-slides/466721.svs
1008301,P-0000131-T02-IM6,s3://mskmind-bkt/reef-slides/1008301.svs
466714,P-0000133-T01-IM3,s3://mskmind-bkt/reef-slides/466714.svs
466662,P-0000134-T01-IM3,s3://mskmind-bkt/reef-slides/466662.svs
466694,P-0000136-T01-IM3,s3://mskmind-bkt/reef-slides/466694.svs
466651,P-0000142-T01-IM3,s3://mskmind-bkt/reef-slides/466651.svs
466646,P-0000144-T01-IM3,s3://mskmind-bkt/reef-slides/466646.svs
1610611,P-0000147-T01-IM3,s3://mskmind-bkt/reef-slides/1610611.svs
2394471,P-0000149-T01-IM3,s3://mskmind-bkt/reef-slides/2394471.svs
637999,P-0000152-T03-IM6,s3://mskmind-bkt/reef-slides/637999.svs
2635239,P-0000153-T02-IM3,s3://mskmind-bkt/reef-slides/2635239.svs
466696,P-0000154-T01-IM3,s3://mskmind-bkt/reef-slides/466696.svs
466642,P-0000156-T01-IM3,s3://mskmind-bkt/reef-slides/466642.svs
2499084,P-0000165-T01-IM3,s3://mskmind-bkt/reef-slides/2499084.svs
466663,P-0000167-T01-IM3,s3://mskmind-bkt/reef-slides/466663.svs
466659,P-0000167-T02-IM3,s3://mskmind-bkt/reef-slides/466659.svs
466031,P-0000168-T01-IM3,s3://mskmind-bkt/reef-slides/466031.svs
741487,P-0000175-T03-IM3,s3://mskmind-bkt/reef-slides/741487.svs
468422,P-0000178-T01-IM3,s3://mskmind-bkt/reef-slides/468422.svs
744509,P-0000180-T02-IM3,s3://mskmind-bkt/reef-slides/744509.svs
2464041,P-0000183-T01-IM3,s3://mskmind-bkt/reef-slides/2464041.svs
466720,P-0000189-T01-IM3,s3://mskmind-bkt/reef-slides/466720.svs
466766,P-0000191-T01-IM3,s3://mskmind-bkt/reef-slides/466766.svs
732566,P-0000192-T02-IM3,s3://mskmind-bkt/reef-slides/732566.svs
1467920,P-0000195-T01-IM3,s3://mskmind-bkt/reef-slides/1467920.svs
466776,P-0000196-T01-IM3,s3://mskmind-bkt/reef-slides/466776.svs
1603011,P-0000196-T02-IM6,s3://mskmind-bkt/reef-slides/1603011.svs
744282,P-0000197-T01-IM3,s3://mskmind-bkt/reef-slides/744282.svs
466768,P-0000201-T01-IM3,s3://mskmind-bkt/reef-slides/466768.svs
466737,P-0000204-T01-IM3,s3://mskmind-bkt/reef-slides/466737.svs
755074,P-0000204-T02-IM3,s3://mskmind-bkt/reef-slides/755074.svs
1551454,P-0000205-T01-IM3,s3://mskmind-bkt/reef-slides/1551454.svs
961113,P-0000208-T01-IM3,s3://mskmind-bkt/reef-slides/961113.svs
1142939,P-0000208-T02-IM5,s3://mskmind-bkt/reef-slides/1142939.svs
1276783,P-0000209-T02-IM3,s3://mskmind-bkt/reef-slides/1276783.svs
5353257,P-0000215-T01-IM3,s3://mskmind-bkt/reef-slides/5353257.svs
336211,P-0000216-T01-IM3,s3://mskmind-bkt/reef-slides/336211.svs
